SPCD,COMMON_NAME,GENUS,SPECIES,VARIETY,SUBSPECIES,SPECIES_SYMBOL,E_SPGRPCD,W_SPGRPCD,C_SPGRPCD,P_SPGRPCD,MAJOR_SPGRPCD,STOCKING_SPGRPCD,FOREST_TYPE_SPGRPCD,EXISTS_IN_NCRS,EXISTS_IN_NERS,EXISTS_IN_PNWRS,EXISTS_IN_RMRS,EXISTS_IN_SRS,SITETREE,SFTWD_HRDWD,ST_EXISTS_IN_NCRS,ST_EXISTS_IN_NERS,ST_EXISTS_IN_PNWRS,ST_EXISTS_IN_RMRS,ST_EXISTS_IN_SRS,CORE,EAST,WEST,CARIBBEAN,PACIFIC,WOODLAND,MANUAL_START,MANUAL_END,JENKINS_SPGRPCD,JENKINS_TOTAL_B1,JENKINS_TOTAL_B2,JENKINS_STEM_WOOD_RATIO_B1,JENKINS_STEM_WOOD_RATIO_B2,JENKINS_STEM_BARK_RATIO_B1,JENKINS_STEM_BARK_RATIO_B2,JENKINS_FOLIAGE_RATIO_B1,JENKINS_FOLIAGE_RATIO_B2,JENKINS_ROOT_RATIO_B1,JENKINS_ROOT_RATIO_B2,JENKINS_SAPLING_ADJUSTMENT,WOOD_SPGR_GREENVOL_DRYWT,WOOD_SPGR_GREENVOL_DRYWT_CIT,BARK_SPGR_GREENVOL_DRYWT,BARK_SPGR_GREENVOL_DRYWT_CIT,MC_PCT_GREEN_BARK,MC_PCT_GREEN_BARK_CIT,MC_PCT_GREEN_WOOD,MC_PCT_GREEN_WOOD_CIT,WOOD_SPGR_MC12VOL_DRYWT,WOOD_SPGR_MC12VOL_DRYWT_CIT,BARK_VOL_PCT,BARK_VOL_PCT_CIT,RAILE_STUMP_DOB_B1,RAILE_STUMP_DIB_B1,RAILE_STUMP_DIB_B2,CWD_DECAY_RATIO1,CWD_DECAY_RATIO2,CWD_DECAY_RATIO3,CWD_DECAY_RATIO4,CWD_DECAY_RATIO5,DWM_CARBON_RATIO,STANDING_DEAD_DECAY_RATIO1,STANDING_DEAD_DECAY_RATIO2,STANDING_DEAD_DECAY_RATIO3,STANDING_DEAD_DECAY_RATIO4,STANDING_DEAD_DECAY_RATIO5,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_DATE,MODIFIED_IN_INSTANCE
7532,crapemyrtle,Lagerstroemia,indica,,,LAIN,54,54,54,,3,37,980,,,,,X,,H,,,,,,N,,,C,,,5,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.52,26,0.53,26,80.49,26,75.13,26,0.58,26,15.16,26,0.12766,0.91979,0.12152,1,0.78,0.45,0.42,0.42,0,1,1,1,1,0.539,,22/09/2010,10854,,24/09/2010,10854
7533,pride of India,Lagerstroemia,speciosa,,,LASP,54,54,54,54,3,37,980,,,X,,X,,H,,,,,,N,,,C,P,,5,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.52,26,0.53,26,80.49,26,75.13,26,0.58,26,15.16,26,0.12766,0.91979,0.12152,1,0.78,0.45,0.42,0.42,0,1,1,1,1,0.539,,22/09/2010,10854,,29/10/2012,440
7539,Langsat,Lansium,domesticum,,,LADO2,54,54,,54,3,,,,,X,,,,H,,,,,,N,,,,P,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29/10/2012,440,,,
7541,nino de cota,Laplacea,portoricensis,,,LAPO,54,54,54,,3,37,980,,,,,X,,H,,,,,,N,,,C,,,5,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.52,26,0.53,26,80.49,26,75.13,26,0.58,26,15.16,26,0.12766,0.91979,0.12152,1,0.78,0.45,0.42,0.42,0,1,1,1,1,0.539,,22/09/2010,10854,,24/09/2010,10854
7543,bluelatan,Latania,loddigesii,,,LALO,54,54,,54,3,,,,,X,,,,H,,,,,,N,,,,P,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29/10/2012,440,,,
7550,henna,Lawsonia,inermis,,,LAIN5,54,54,54,,3,37,984,,,,,X,,H,,,,,,N,,,C,,,5,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.52,26,0.53,26,80.49,26,75.13,26,0.58,26,15.16,26,0.12766,0.91979,0.12152,1,0.78,0.45,0.42,0.42,0,1,1,1,1,0.539,,22/09/2010,10854,,24/09/2010,10854
7552,Krug's roughleaf,Leandra,krugiana,,,LEKR,54,54,54,,3,37,985,,,,,X,,H,,,,,,N,,,C,,,5,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.52,26,0.53,26,80.49,26,75.13,26,0.58,26,15.16,26,0.12766,0.91979,0.12152,1,0.78,0.45,0.42,0.42,0,1,1,1,1,0.539,,22/09/2010,10854,,24/09/2010,10854
7556,pitahaya,Leptocereus,quadricostatus,,,LEQU,54,54,54,,3,37,980,,,,,X,,H,,,,,,N,,,C,,,5,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.52,26,0.53,26,80.49,26,75.13,26,0.58,26,15.16,26,0.12766,0.91979,0.12152,1,0.78,0.45,0.42,0.42,0,1,1,1,1,0.539,,22/09/2010,10854,,24/09/2010,10854
7558,large-leaf yellow teatree,Leptospermum,morrisonii,,,LEMO20,54,54,,54,3,,,,,X,,,,H,,,,,,N,,,,P,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29/10/2012,440,,,
7559,common teatree,Leptospermum,petersonii,,,LEPE23,54,54,,54,3,,,,,X,,,,H,,,,,,N,,,,P,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29/10/2012,440,,,
6055,cream albizia,Albizia,adinocephala,,,ALAD,54,54,54,,3,37,980,,,,,X,,H,,,,,,N,,,C,,,5,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.52,26,0.53,26,80.49,26,75.13,26,0.58,26,15.16,26,0.12766,0.91979,0.12152,1,0.78,0.45,0.42,0.42,0,1,1,1,1,0.539,,22/09/2010,10854,,24/09/2010,10854
6056,naked albizia,Albizia,carbonaria,,,ALCA8,54,54,54,,3,37,980,,,,,X,,H,,,,,,N,,,C,,,5,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.52,26,0.53,26,80.49,26,75.13,26,0.58,26,15.16,26,0.12766,0.91979,0.12152,1,0.78,0.45,0.42,0.42,0,1,1,1,1,0.539,,22/09/2010,10854,,24/09/2010,10854
6057,Chinese albizia,Albizia,chinensis,,,ALCH2,54,54,,54,3,,,,,X,,,,H,,,,,,N,,,,P,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29/10/2012,440,,,
6058,ukall ra ngebard,Albizia,falcataria,,,ALFA5,54,54,,54,3,,,,,X,,,,H,,,,,,N,,,,P,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29/10/2012,440,,,
6059,woman's tongue,Albizia,lebbeck,,,ALLE,54,54,54,54,3,37,985,,,X,,X,,H,,,,,,N,,,C,P,,5,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.52,26,0.53,26,80.49,26,75.13,26,0.58,26,15.16,26,0.12766,0.91979,0.12152,1,0.78,0.45,0.42,0.42,0,1,1,1,1,0.539,,22/09/2010,10854,,29/10/2012,440
6060,tall albizia,Albizia,procera,,,ALPR,54,54,54,,3,37,985,,,,,X,,H,,,,,,N,,,C,,,5,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.52,26,0.53,26,80.49,26,75.13,26,0.58,26,15.16,26,0.12766,0.91979,0.12152,1,0.78,0.45,0.42,0.42,0,1,1,1,1,0.539,,22/09/2010,10854,,24/09/2010,10854
6061,ukall ra ngebard,Albizia,retusa,,,ALRE,54,54,,54,3,,,,,X,,,,H,,,,,,N,,,,P,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29/10/2012,440,,,
6062,whiteflower albizia,Albizia,saponaria,,,ALSA10,54,54,,54,3,,,,,X,,,,H,,,,,,N,,,,P,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29/10/2012,440,,,
6063,albizia,Albizia,spp.,,,ALBIZ,54,54,,54,3,,,,,X,,,,H,,,,,,N,,,,P,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29/10/2012,440,,,
6064,achiotillo,Alchornea,latifolia,,,ALLA,54,54,54,,3,37,986,,,,,X,,H,,,,,,N,,,C,,,5,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.52,26,0.53,26,80.49,26,75.13,26,0.58,26,15.16,26,0.12766,0.91979,0.12152,1,0.78,0.45,0.42,0.42,0,1,1,1,1,0.539,,22/09/2010,10854,,24/09/2010,10854
6066,palo de gallina,Alchorneopsis,floribunda,,,ALFL3,54,54,54,,3,37,985,,,,,X,,H,,,,,,N,,,C,,,5,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.52,26,0.53,26,80.49,26,75.13,26,0.58,26,15.16,26,0.12766,0.91979,0.12152,1,0.78,0.45,0.42,0.42,0,1,1,1,1,0.539,,22/09/2010,10854,,24/09/2010,10854
6069,Hawaii alectryon,Alectryon,macrococcus,,,ALMA,54,54,,54,3,,,,,X,,,,H,,,,,,N,,,,P,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29/10/2012,440,,,
6073,alectryon,Alectryon,spp.,,,ALECT,54,54,,54,3,,,,,X,,,,H,,,,,,N,,,,P,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29/10/2012,440,,,
6075,Indian walnut,Aleurites,moluccana,,,ALMO2,54,54,54,54,3,37,980,,,X,,X,,H,,,,,,N,,,C,P,,5,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.52,26,0.53,26,80.49,26,75.13,26,0.58,26,15.16,26,0.12766,0.91979,0.12152,1,0.78,0.45,0.42,0.42,0,1,1,1,1,0.539,,22/09/2010,10854,,29/10/2012,440
6077,aleurites,Aleurites,spp.,,,ALEUR,54,54,,54,3,,,,,X,,,,H,,,,,,N,,,,P,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29/10/2012,440,,,
6078,lumbang,Aleurites,trisperma,,,ALTR11,54,54,,54,3,,,,,X,,,,H,,,,,,N,,,,P,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29/10/2012,440,,,
6080,palo blanco,Allophylus,crassinervis,,,ALCR9,54,54,54,,3,37,985,,,,,X,,H,,,,,,N,,,C,,,5,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.52,26,0.53,26,80.49,26,75.13,26,0.58,26,15.16,26,0.12766,0.91979,0.12152,1,0.78,0.45,0.42,0.42,0,1,1,1,1,0.539,,22/09/2010,10854,,24/09/2010,10854
6082,palo de caja,Allophylus,racemosus,,,ALRA,54,54,54,,3,37,980,,,,,X,,H,,,,,,N,,,C,,,5,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.52,26,0.53,26,80.49,26,75.13,26,0.58,26,15.16,26,0.12766,0.91979,0.12152,1,0.78,0.45,0.42,0.42,0,1,1,1,1,0.539,,22/09/2010,10854,,24/09/2010,10854
6083,Allophylus,Allophylus,spp.,,,ALLOP,54,54,,54,3,,,,,X,,,,H,,,,,,N,,,,P,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29/10/2012,440,,,
6084,chebeludes,Allophylus,ternatus,,,ALTE13,54,54,,54,3,,,,,X,,,,H,,,,,,N,,,,P,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29/10/2012,440,,,
7501,Senegal mahogany,Khaya,senegalensis,,,KHSE2,54,54,54,,3,37,980,,,,,X,,H,,,,,,N,,,C,,,5,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.52,26,0.53,26,80.49,26,75.13,26,0.58,26,15.16,26,0.12766,0.91979,0.12152,1,0.78,0.45,0.42,0.42,0,1,1,1,1,0.539,,22/09/2010,10854,,24/09/2010,10854
